2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:830			本次共计加载了 1474 个要素
2018-1-20 15:49:7:830			完成根据featureid加载对象并提取对象状态
2018-1-20 15:49:7:830			开始获取block的最新状态
2018-1-20 15:49:7:830			blockid: 1669 开始运行
2018-1-20 15:49:7:830			blockid: 1669 存在逻辑错误1,491301
2018-1-20 15:49:7:830			blockid: 1669 存在逻辑错误1,20000015458114
2018-1-20 15:49:7:830			blockid: 1670 开始运行
2018-1-20 15:49:7:830			blockid: 1671 开始运行
2018-1-20 15:49:7:830			blockid: 1672 开始运行
2018-1-20 15:49:7:830			blockid: 1673 开始运行
2018-1-20 15:49:7:830			blockid: 1673 存在逻辑错误1,20000015458692
2018-1-20 15:49:7:830			blockid: 1674 开始运行
2018-1-20 15:49:7:830			blockid: 1675 开始运行
2018-1-20 15:49:7:830			blockid: 1676 开始运行
2018-1-20 15:49:7:830			blockid: 1677 开始运行
2018-1-20 15:49:7:830			blockid: 1677 存在逻辑错误1,200000000022419
2018-1-20 15:49:7:830			blockid: 1678 开始运行
2018-1-20 15:49:7:830			blockid: 1678 存在逻辑错误1,200000000022731
2018-1-20 15:49:7:830			blockid: 1679 开始运行
2018-1-20 15:49:7:830			blockid: 1679 存在逻辑错误1,200000000025183
2018-1-20 15:49:7:830			blockid: 1680 开始运行
2018-1-20 15:49:7:830			blockid: 1680 存在逻辑错误1,200000000025277
2018-1-20 15:49:7:830			blockid: 1681 开始运行
2018-1-20 15:49:7:830			blockid: 1681 存在逻辑错误1,200000000025278
2018-1-20 15:49:7:830			blockid: 1682 开始运行
2018-1-20 15:49:7:830			blockid: 1682 存在逻辑错误1,200000000025289
2018-1-20 15:49:7:831			blockid: 1683 开始运行
2018-1-20 15:49:7:831			blockid: 1683 存在逻辑错误1,200000000025295
2018-1-20 15:49:7:831			blockid: 1684 开始运行
2018-1-20 15:49:7:831			blockid: 1684 存在逻辑错误1,200000000026052
2018-1-20 15:49:7:831			blockid: 1685 开始运行
2018-1-20 15:49:7:831			blockid: 1685 存在逻辑错误1,200000000026057
2018-1-20 15:49:7:831			blockid: 1686 开始运行
2018-1-20 15:49:7:831			blockid: 1686 存在逻辑错误1,200000000026087
2018-1-20 15:49:7:831			blockid: 1687 开始运行
2018-1-20 15:49:7:831			blockid: 1687 存在逻辑错误1,200000000026091
2018-1-20 15:49:7:831			blockid: 1688 开始运行
2018-1-20 15:49:7:831			blockid: 1688 存在逻辑错误1,200000000026092
2018-1-20 15:49:7:831			blockid: 1689 开始运行
2018-1-20 15:49:7:831			blockid: 1689 存在逻辑错误1,200000000026098
2018-1-20 15:49:7:831			blockid: 1690 开始运行
2018-1-20 15:49:7:831			blockid: 1690 存在逻辑错误1,200000000026099
2018-1-20 15:49:7:831			blockid: 1691 开始运行
2018-1-20 15:49:7:831			blockid: 1691 存在逻辑错误1,200000000026102
2018-1-20 15:49:7:831			blockid: 1692 开始运行
2018-1-20 15:49:7:831			blockid: 1692 存在逻辑错误1,200000000026127
2018-1-20 15:49:7:831			blockid: 1693 开始运行
2018-1-20 15:49:7:831			blockid: 1693 存在逻辑错误1,200000000026128
2018-1-20 15:49:7:831			blockid: 1693 存在逻辑错误1,200000000026186
2018-1-20 15:49:7:831			blockid: 1694 开始运行
2018-1-20 15:49:7:831			blockid: 1694 存在逻辑错误1,200000000026129
2018-1-20 15:49:7:831			blockid: 1695 开始运行
2018-1-20 15:49:7:831			blockid: 1695 存在逻辑错误1,200000000026145
2018-1-20 15:49:7:831			blockid: 1696 开始运行
2018-1-20 15:49:7:831			blockid: 1696 存在逻辑错误1,200000000026173
2018-1-20 15:49:7:831			blockid: 1696 存在逻辑错误1,200000000026176
2018-1-20 15:49:7:831			blockid: 1697 开始运行
2018-1-20 15:49:7:831			blockid: 1697 存在逻辑错误1,200000000026175
2018-1-20 15:49:7:831			blockid: 1697 存在逻辑错误1,200000000026179
2018-1-20 15:49:7:831			blockid: 1698 开始运行
2018-1-20 15:49:7:831			blockid: 1698 存在逻辑错误1,200000000026178
2018-1-20 15:49:7:831			blockid: 1699 开始运行
2018-1-20 15:49:7:831			blockid: 1699 存在逻辑错误1,200000000026184
2018-1-20 15:49:7:831			blockid: 1700 开始运行
2018-1-20 15:49:7:831			blockid: 1700 存在逻辑错误1,200000000026204
2018-1-20 15:49:7:831			blockid: 1701 开始运行
2018-1-20 15:49:7:831			blockid: 1701 存在逻辑错误1,200000000026205
2018-1-20 15:49:7:831			blockid: 1702 开始运行
2018-1-20 15:49:7:831			blockid: 1702 存在逻辑错误1,200000000026207
2018-1-20 15:49:7:831			blockid: 1703 开始运行
2018-1-20 15:49:7:831			blockid: 1703 存在逻辑错误1,200000000026208
